iter,loss,mask-enc,mask-pred,time (ms)
1,0.45442,115.00000,20.00000,2485
2,0.40277,97.00000,24.00000,98
3,0.36933,108.00000,20.00000,87
4,0.34639,114.00000,20.00000,88
5,0.32671,117.00000,20.00000,91
6,0.31163,91.00000,24.00000,77
7,0.29811,116.00000,20.00000,89
8,0.28495,114.00000,20.00000,88
9,0.27329,116.00000,20.00000,89
10,0.26120,113.00000,20.00000,90
11,0.25046,115.00000,20.00000,90
12,0.24022,109.00000,20.00000,87
13,0.22802,114.00000,20.00000,88
14,0.21896,115.00000,20.00000,90
15,0.21004,113.00000,20.00000,89
16,0.20065,117.00000,20.00000,90
17,0.19197,116.00000,20.00000,112
18,0.18603,112.00000,20.00000,98
19,0.17593,106.00000,24.00000,88
20,0.16947,118.00000,20.00000,94
21,0.16267,116.00000,20.00000,91
22,0.15567,113.00000,20.00000,89
23,0.14943,117.00000,20.00000,91
24,0.14289,114.00000,20.00000,88
25,0.14148,98.00000,24.00000,81
26,0.13014,114.00000,20.00000,89
27,0.12809,99.00000,24.00000,91
28,0.11954,101.00000,24.00000,82
29,0.11088,119.00000,20.00000,91
30,0.10594,114.00000,20.00000,87
31,0.09989,97.00000,24.00000,80
32,0.09526,113.00000,20.00000,89
33,0.08884,97.00000,24.00000,160
34,0.08516,115.00000,20.00000,117
35,0.08071,96.00000,24.00000,82
36,0.07891,135.00000,16.00000,109
37,0.07203,117.00000,20.00000,96
38,0.06828,96.00000,24.00000,83
39,0.06415,112.00000,20.00000,92
40,0.06203,114.00000,20.00000,93
41,0.05914,117.00000,20.00000,95
42,0.05455,113.00000,20.00000,92
43,0.05115,99.00000,24.00000,86
44,0.04906,113.00000,20.00000,113
45,0.04603,110.00000,20.00000,89
46,0.04398,108.00000,20.00000,83
47,0.04142,118.00000,20.00000,104
48,0.04011,109.00000,20.00000,90
49,0.03975,122.00000,20.00000,114
50,0.03525,112.00000,20.00000,98
51,0.03367,95.00000,24.00000,87
52,0.03209,114.00000,20.00000,106
53,0.03045,114.00000,20.00000,97
54,0.02916,109.00000,20.00000,94
55,0.02948,112.00000,20.00000,95
56,0.02646,96.00000,24.00000,87
57,0.02508,97.00000,24.00000,91
58,0.02384,113.00000,20.00000,91
59,0.02557,115.00000,20.00000,93
60,0.02106,114.00000,20.00000,94
61,0.02138,115.00000,20.00000,93
62,0.02074,115.00000,20.00000,94
63,0.01810,117.00000,20.00000,93
64,0.01766,90.00000,24.00000,79
65,0.01798,104.00000,24.00000,97
66,0.01719,113.00000,20.00000,97
67,0.01672,112.00000,20.00000,94
68,0.01973,114.00000,20.00000,92
69,0.02087,93.00000,24.00000,89
70,0.01909,112.00000,20.00000,88
71,0.01498,114.00000,20.00000,89
72,0.01722,113.00000,20.00000,91
73,0.01749,129.00000,16.00000,98
74,0.01560,115.00000,20.00000,94
75,0.01235,93.00000,24.00000,79
76,0.01739,117.00000,20.00000,92
77,0.01244,115.00000,20.00000,94
78,0.01518,113.00000,20.00000,89
79,0.01276,133.00000,16.00000,105
80,0.01140,114.00000,20.00000,90
81,0.01004,95.00000,24.00000,96
82,0.01091,113.00000,20.00000,103
83,0.00975,110.00000,20.00000,108
84,0.00950,101.00000,24.00000,100
85,0.00971,98.00000,24.00000,81
86,0.01271,95.00000,24.00000,79
87,0.00871,95.00000,24.00000,80
88,0.00903,101.00000,24.00000,82
89,0.00919,108.00000,20.00000,94
90,0.00815,119.00000,20.00000,98
91,0.00894,89.00000,24.00000,81
92,0.00840,100.00000,24.00000,85
93,0.00764,118.00000,20.00000,97
94,0.01213,117.00000,20.00000,96
95,0.00773,114.00000,20.00000,91
96,0.00753,107.00000,20.00000,86
97,0.00716,135.00000,16.00000,119
98,0.00763,94.00000,24.00000,91
99,0.00757,111.00000,20.00000,94
100,0.00652,118.00000,20.00000,92
101,0.00775,116.00000,20.00000,90
102,0.00642,109.00000,20.00000,89
103,0.00621,111.00000,20.00000,88
104,0.00607,113.00000,20.00000,89
105,0.00602,95.00000,24.00000,81
106,0.00546,115.00000,20.00000,91
107,0.00592,105.00000,20.00000,84
108,0.00889,110.00000,20.00000,88
109,0.00493,97.00000,24.00000,83
110,0.00465,113.00000,20.00000,94
111,0.00667,118.00000,20.00000,93
112,0.00449,116.00000,20.00000,91
113,0.00513,116.00000,20.00000,105
114,0.01344,115.00000,20.00000,105
115,0.00390,109.00000,20.00000,97
116,0.00455,89.00000,24.00000,78
117,0.00407,109.00000,20.00000,93
118,0.00371,114.00000,20.00000,89
119,0.00501,131.00000,16.00000,100
120,0.01422,110.00000,20.00000,88
121,0.00546,115.00000,20.00000,91
122,0.00519,116.00000,20.00000,91
123,0.01343,112.00000,20.00000,87
124,0.00324,111.00000,20.00000,90
125,0.00308,116.00000,20.00000,90
126,0.00288,113.00000,20.00000,89
127,0.00271,93.00000,24.00000,80
128,0.00287,114.00000,20.00000,88
129,0.00240,111.00000,20.00000,108
130,0.00294,95.00000,24.00000,98
131,0.00241,135.00000,16.00000,109
132,0.00222,116.00000,20.00000,90
133,0.00219,100.00000,24.00000,85
134,0.00208,111.00000,20.00000,93
135,0.00206,114.00000,20.00000,91
136,0.00202,111.00000,20.00000,89
137,0.00192,113.00000,20.00000,92
138,0.00185,114.00000,20.00000,92
139,0.00189,103.00000,24.00000,86
140,0.00194,117.00000,20.00000,94
